# T P mol abs
1.918791946308724846e+03 6.279299208263286580e+00 6.849127031678349999e+24 3.118573647094577926e-03
1.927516778523489847e+03 6.906203404817204294e+00 7.524541433098557544e+24 3.330701354802202956e-03
1.936241610738255076e+03 7.589837557200421969e+00 8.260111264512300955e+24 6.078441629420930706e-03
1.944966442953020078e+03 8.334806310011444452e+00 9.060613675713461171e+24 6.474002071551146487e-03
1.953691275167785307e+03 9.146045700896145547e+00 9.931158553553251760e+24 6.722511705718014867e-03
1.962416107382550308e+03 1.002884409217497463e+01 1.087720842216489633e+25 7.155334067418769525e-03
1.971140939597315537e+03 1.098886426167912944e+01 1.190459933882078850e+25 7.611960386849740690e-03
1.979865771812080538e+03 1.203216671076193833e+01 1.301956282614157788e+25 8.093417460892338502e-03
1.988590604026845540e+03 1.316523425030480077e+01 1.422874888278543623e+25 8.600755398337295299e-03
1.997315436241610769e+03 1.439499792854065063e+01 1.553925011620944711e+25 9.135058619859590459e-03
2.006040268456375998e+03 1.572886436767749707e+01 1.695862704261500205e+25 9.697458239608882161e-03
2.014765100671140999e+03 1.717474457963407986e+01 1.849493460077532611e+25 1.728409102825849419e-02
2.023489932885906001e+03 1.874108433469960744e+01 2.015674992809198403e+25 1.829412531674766071e-02
2.032214765100671229e+03 2.043689616061406156e+01 2.195320144894906860e+25 1.935206400249380246e-02
2.040939597315436231e+03 2.227179305344226634e+01 2.389399932723248343e+25 2.045955477715243748e-02
2.049664429530201232e+03 2.425602398568912577e+01 2.598946733675839068e+25 2.161824428354712155e-02
2.058389261744966461e+03 2.640051130139255875e+01 2.825057620532467120e+25 2.282977351474980293e-02
2.067114093959731690e+03 2.871689009243090851e+01 3.068897849015386700e+25 2.409577517514239001e-02
2.075838926174496919e+03 3.121754965502110224e+01 3.331704504466119660e+25 2.541787371689883598e-02
2.084563758389261693e+03 3.391567713035140486e+01 3.614790313874354154e+25 2.679768881476126546e-02
2.093288590604026922e+03 3.682530343851878740e+01 3.919547629717152161e+25 4.538895207056501541e-02
2.102013422818791696e+03 3.996135162041633038e+01 4.247452592316707856e+25 4.497878920523654817e-02
2.110738255033556925e+03 4.333968770797365266e+01 4.600069477689320635e+25 4.716290584093609656e-02
2.119463087248322154e+03 4.697717424917752282e+01 4.979055238135540429e+25 4.942188001695129590e-02
2.128187919463087383e+03 5.089172662062848218e+01 5.386164243115079939e+25 5.175738851824601000e-02
2.136912751677852611e+03 5.510237226701014635e+01 5.823253228259108371e+25 5.417127402613832604e-02
2.145637583892617386e+03 5.962931301378859672e+01 6.292286460699400237e+25 5.666555161307457872e-02
2.154362416107382614e+03 6.449399060672436690e+01 6.795341129239365703e+25 5.924241103741427483e-02
2.163087248322147389e+03 6.971915563937426441e+01 7.334612968256486498e+25 6.190421526453033368e-02
2.171812080536912617e+03 7.532894003771787084e+01 7.912422124613072866e+25 9.513651432109129780e-02
2.180536912751677846e+03 8.134893327934003082e+01 8.531219277259918133e+25 9.875089685070430334e-02
2.189261744966443075e+03 8.780626253329093345e+01 9.193592019651539586e+25 1.024528886843826397e-01
2.197986577181208304e+03 9.472967691579509619e+01 9.902271515548671997e+25 1.062443979826969420e-01
2.206711409395973078e+03 1.021496360664498724e+02 1.066013943927067272e+26 1.101274019564874584e-01
2.215436241610738307e+03 1.100984032594082578e+02 1.147023521197338083e+26 1.141039498141885600e-01
2.224161073825503536e+03 1.186101432743164139e+02 1.233576354607211761e+26 1.181761777039757461e-01
2.232885906040268310e+03 1.277210252625075384e+02 1.326010231050772738e+26 1.223463383561731871e-01
2.241610738255033539e+03 1.374693308550818358e+02 1.424681073016135232e+26 1.266168472722544180e-01
2.250335570469798768e+03 1.478955677711154806e+02 1.529963793337000672e+26 1.309903459958191296e-01
2.259060402684563996e+03 1.590425891963196250e+02 1.642253186217821846e+26 1.801766904200372832e-01
2.267785234899328771e+03 1.709557192149935076e+02 1.761964856068093638e+26 1.852473400804647286e-01
2.276510067114093999e+03 1.836828845911731491e+02 1.889536185757709544e+26 1.904071323350383094e-01
2.285234899328859228e+03 1.972747532083663771e+02 2.025427345985411434e+26 1.956608477734174678e-01
2.293959731543624002e+03 2.117848794913448955e+02 2.170122347537608037e+26 2.010140624770679618e-01
2.302684563758389231e+03 2.272698571479826057e+02 2.324130138303862902e+26 2.104985706561027514e-01
2.311409395973154460e+03 2.437894795842231304e+02 2.487985747009539474e+26 2.165415203561268931e-01
2.320134228187919689e+03 2.614069083608846995e+02 2.662251475725052117e+26 2.227366901122267984e-01
2.328859060402684463e+03 2.801888500771714234e+02 2.847518143314994703e+26 2.290951733833522797e-01
2.337583892617449692e+03 3.002057420824895075e+02 3.044406382099416393e+26 2.356288546086948155e-01
2.346308724832214921e+03 3.215319474354514000e+02 3.253567990113673765e+26 2.423502877745525030e-01
2.355033557046979695e+03 3.442459595468238831e+02 3.475687341472778941e+26 3.025138918709993630e-01
2.363758389261744924e+03 3.684306169616326656e+02 3.711482857471115266e+26 3.097649360984870426e-01
2.372483221476510153e+03 3.941733287546319389e+02 3.961708541178247171e+26 3.172344161393769180e-01
2.381208053691275381e+03 4.215663110330526706e+02 4.227155578427855609e+26 3.249372889962417466e-01
2.389932885906040156e+03 4.507068350607054299e+02 4.508654008237376198e+26 3.328883158550478005e-01
2.398657718120805384e+03 4.816974875384415213e+02 4.807074465843208803e+26 3.411018901963658867e-01
2.407382550335570613e+03 5.146464435973376794e+02 5.123330001687464279e+26 3.495918707556108784e-01
2.416107382550335387e+03 5.496677530831855165e+02 5.458377979850948468e+26 3.583714204609386167e-01
2.424832214765100616e+03 5.868816407334663836e+02 5.813222059588652036e+26 3.674528505403119594e-01
2.433557046979865845e+03 6.264148208713537542e+02 6.188914263792302489e+26 3.768474668527867499e-01
2.442281879194631074e+03 6.684008272653304630e+02 6.586557138378041795e+26 3.865654142958384609e-01
2.451006711409395848e+03 7.129803588274925232e+02 7.007306006774285555e+26 3.966155158883538645e-01
2.459731543624161077e+03 7.603016418489822854e+02 7.452371323868484820e+26 4.639694932507111846e-01
2.468456375838926306e+03 8.105208094967175612e+02 7.923021133957465175e+26 4.752607177723188747e-01
2.477181208053691080e+03 8.638022993222986088e+02 8.420583637439353126e+26 4.869407110200349997e-01
2.485906040268456309e+03 9.203192695609336624e+02 8.946449871178964973e+26 4.990065114713091998e-01
2.494630872483221538e+03 9.802540350261284630e+02 9.502076507679224509e+26 5.114519703370008497e-01
2.503355704697986766e+03 1.043798523434324125e+03 1.008898877839447487e+27 5.494152810302447287e-01
2.512080536912751995e+03 1.111154753022640534e+03 1.070878352672728636e+27 5.634237269542261561e-01
2.520805369127516769e+03 1.182535332352636260e+03 1.136313239646067394e+27 5.777495312149609763e-01
2.529530201342281998e+03 1.258163983223356581e+03 1.205378516159047042e+27 5.923668238350048298e-01
2.538255033557046772e+03 1.338276087647693657e+03 1.278257320373595637e+27 6.072461923120315852e-01
2.546979865771812001e+03 1.423119259877910281e+03 1.355141314352666318e+27 6.223547364481633037e-01
2.555704697986577230e+03 1.512953944498043711e+03 1.436231063257973787e+27 6.376561182236090142e-01
2.564429530201342459e+03 1.608054041633939960e+03 1.521736431290574877e+27 7.267836798297778733e-01
2.573154362416107688e+03 1.708707560364785422e+03 1.611876995080104930e+27 7.420903647718316565e-01
2.581879194630872462e+03 1.815217301454111066e+03 1.706882475251005983e+27 7.572751968271771439e-01
2.590604026845637691e+03 1.927901570552685598e+03 1.806993186916467741e+27 7.722790487412163341e-01
2.599328859060402465e+03 2.047094923060740257e+03 1.912460509873309606e+27 7.870421319147877792e-01
