# T P mol abs
1.991596638655462129e+03 1.357765123740921531e+01 1.737892857790640307e+25 1.131930766478819461e-01
2.004201680672268822e+03 1.543873618941916170e+01 1.972671925513860906e+25 1.201006046478801520e-01
2.016806722689075741e+03 1.753015146031021132e+01 2.235948504337599502e+25 1.271866120761520613e-01
2.029411764705882433e+03 1.987739784756264783e+01 2.530790618770519726e+25 1.344409949707190965e-01
2.042016806722689125e+03 2.250848034246748597e+01 2.860554590479233575e+25 1.418531441827535211e-01
2.054621848739495817e+03 2.545412552965285968e+01 3.228908234000217365e+25 1.494122132967294625e-01
2.067226890756302510e+03 2.874801588996552226e+01 3.639855621151345425e+25 1.571074698435822592e-01
2.079831932773109202e+03 3.242704223973397859e+01 4.097763503788832033e+25 1.649286762187764654e-01
2.092436974789915894e+03 3.653157562991312091e+01 4.607389489447497443e+25 1.728664406381891228e-01
2.105042016806722586e+03 4.110576012571958415e+01 5.173912069651073527e+25 1.809124889515191792e-01
2.117647058823529278e+03 4.619782799153164632e+01 5.802962606324279206e+25 1.890598276927487331e-01
2.130252100840335970e+03 5.186043891746587775e+01 6.500659387821368764e+25 1.973027900142792224e-01
2.142857142857143117e+03 5.815104504356762760e+01 7.273643872650893208e+25 2.056369753869794204e-01
2.155462184873949809e+03 6.513228366542264780e+01 8.129119246075784858e+25 2.140591109845164375e-01
2.168067226890756501e+03 7.287239964164182027e+01 9.074891422454547416e+25 2.225668788424833011e-01
2.180672268907563193e+03 8.144569966953824292e+01 1.011941263452047683e+26 2.311587687331015384e-01
2.193277310924369885e+03 9.093304075089000094e+01 1.127182775983863329e+26 2.398340300224826860e-01
2.205882352941176578e+03 1.014223553353805301e+02 1.254202354449553669e+26 2.485928003308758572e-01
2.218487394957983270e+03 1.130092158056401530e+02 1.394068089474083769e+26 2.574364749229848814e-01
2.231092436974789962e+03 1.257974411552006586e+02 1.547933041888302633e+26 2.663683395296220224e-01
2.243697478991596654e+03 1.398997489096177844e+02 1.717041141432334858e+26 2.753944204111251626e-01
2.256302521008403346e+03 1.554384555519402795e+02 1.902733450826935974e+26 2.845244246971587732e-01
2.268907563025210038e+03 1.725462289370954068e+02 2.106454817548594796e+26 2.937725832520931557e-01
2.281512605042016730e+03 1.913668964160358712e+02 2.329760937249500447e+26 3.031582015383562090e-01
2.294117647058823422e+03 2.120563126401258671e+02 2.574325854500888652e+26 3.127057833076467563e-01
2.306722689075630115e+03 2.347832912796235121e+02 2.841949928415235511e+26 3.224446926082754072e-01
2.319327731092436807e+03 2.597306051677008440e+02 3.134568292727161148e+26 3.324084140540369270e-01
2.331932773109243499e+03 2.870960596735883428e+02 3.454259842091285205e+26 3.426335259276585554e-01
2.344537815126050191e+03 3.170936444155699405e+02 3.803256778694596748e+26 3.531585160730067452e-01
2.357142857142856883e+03 3.499547687469842003e+02 4.183954755785924692e+26 3.640225635092120826e-01
2.369747899159663575e+03 3.859295867865595255e+02 4.598923657401663813e+26 3.752643879210657007e-01
2.382352941176470722e+03 4.252884181184768977e+02 5.050919056416553859e+26 3.869212390233914833e-01
2.394957983193277414e+03 4.683232706580115519e+02 5.542894396075714218e+26 3.990280668458562330e-01
2.407563025210084106e+03 5.153494725655730235e+02 6.078013943368218583e+26 4.116168796928918461e-01
2.420168067226890798e+03 5.667074204956538779e+02 6.659666565982611378e+26 4.247162423084765992e-01
2.432773109243697490e+03 6.227644518880395026e+02 7.291480388140887213e+26 4.383507996278922514e-01
2.445378151260504183e+03 6.839168494464955756e+02 7.977338384332914766e+26 4.525406832969756099e-01
2.457983193277310875e+03 7.505919864053945503e+02 8.721394973864454710e+26 4.673007161969508494e-01
2.470588235294117567e+03 8.232506216573729034e+02 9.528093683181639108e+26 4.826394510876351185e-01
2.483193277310924259e+03 9.023893543052439554e+02 1.040218594713443443e+27 4.985581805443914938e-01
2.495798319327730951e+03 9.885432477089301528e+02 1.134875112468083917e+27 5.150500758092554365e-01
2.508403361344537643e+03 1.082288633623319356e+03 1.237321780900345022e+27 5.320995600689226723e-01
2.521008403361344790e+03 1.184246107565335706e+03 1.348138651659559881e+27 5.496819405148104520e-01
2.533613445378151482e+03 1.295083727108401035e+03 1.467945384456712806e+27 5.677632424829590629e-01
2.546218487394958174e+03 1.415520425379296512e+03 1.597403819020221791e+27 5.863001204641398179e-01
2.558823529411764866e+03 1.546329652626418920e+03 1.737220713166566108e+27 6.052396886082995753e-01
2.571428571428571558e+03 1.688343259338905455e+03 1.888150657368115100e+27 6.245191579170357166e-01
2.584033613445378251e+03 1.842455635023303330e+03 2.050999176698999888e+27 6.440653101727962238e-01
2.596638655462184943e+03 2.009628117387408565e+03 2.226626031542109683e+27 6.637940400221923332e-01
2.609243697478991635e+03 2.190893687339787448e+03 2.415948728946126379e+27 6.836103566571378742e-01
2.621848739495798327e+03 2.387361965887633232e+03 2.619946257029367295e+27 7.034092545671966068e-01
2.634453781512605019e+03 2.600224529704334600e+03 2.839663055336534323e+27 7.230777086626550831e-01
2.647058823529411711e+03 2.830760562841419869e+03 3.076213234564868482e+27 7.424977823078212635e-01
2.659663865546218403e+03 3.080342862776140919e+03 3.330785059586709646e+27 7.615505617811174632e-01
